blocker_id,evidence_id,severity,evidence_status,evidence_path,required_tokens,closure_criteria
PASSIVE_PRODUCTION_AVL_AND_DERATING,quote_acceptance,MEDIUM,OPEN,TBD,current quote timestamp;accepted C-code;no automatic substitution;order archive,JLCPCB quote evidence confirms BOM/POS acceptance and every locked C-code or records reviewed substitutions before spending order money.
PASSIVE_PRODUCTION_AVL_AND_DERATING,passive_derating,MEDIUM,OPEN,TBD,pulse/surge/current derating;board temperature;accepted duty cycle,Production passive release evidence records pulse surge current derating and measured board temperature at the accepted duty cycle.
VIN24_INPUT_PROTECTION_AND_BUCK_LAYOUT,first_power_limits,CRITICAL,OPEN,TBD,24.0 V;300 mA;polarity;RJ45 power disabled;no hot-plug,First power evidence records bench supply settings polarity VIN24 current limit RJ45 power disabled state and no hot-plug boundary.
VIN24_INPUT_PROTECTION_AND_BUCK_LAYOUT,buck_rail_measurement,CRITICAL,OPEN,TBD,U15;U16;startup overshoot;ripple;load-step;temperature,Buck bring-up evidence records U15 U16 startup overshoot ripple load-step behavior and hot component temperatures.
VIN24_INPUT_PROTECTION_AND_BUCK_LAYOUT,production_protection,CRITICAL,OPEN,TBD,fuse;reverse;TVS;current limit;RJ45 harness,Production input release evidence defines fuse or current limit reverse-polarity strategy TVS/transient strategy and RJ45 harness limits.
PER_DIODE_LASER_THERMAL_BUDGET,laser_bringup,CRITICAL,OPEN,TBD,LD1;LD2;LD3;LD4;measured current;optical power;temperature;shutoff,Laser bring-up evidence records measured current optical power driver or sense temperature and shutoff behavior for LD1 through LD4.
PER_DIODE_LASER_THERMAL_BUDGET,laser_safety_fixture,CRITICAL,OPEN,TBD,wavelength;eyewear;beam stop;one channel;received-can pinout,Laser safety evidence records wavelength-rated eyewear enclosed beam stop one-channel-at-a-time procedure and received-can pinout inspection.
AP2112_BENCH_MEASUREMENT_OR_REGULATOR_CHANGE,no_rf_current_temp,HIGH,OPEN,TBD,+3V3 current;AP2112 temperature;Wi-Fi disabled;BLE disabled,AP2112 evidence records no-RF firmware state plus measured +3V3 current and AP2112 package temperature.
AP2112_BENCH_MEASUREMENT_OR_REGULATOR_CHANGE,regulator_decision,HIGH,OPEN,TBD,Wi-Fi;BLE;buck regulator;thermal proof,Production regulator evidence either keeps RF disabled or records measured duty-cycle thermal proof or a regulator replacement decision.
AD7606_SYSTEM_INTERFACE,digital_timing,HIGH,OPEN,TBD,RESET;CONVST;BUSY;CS;SCLK;scope capture,AD7606 timing evidence records scoped RESET CONVST BUSY CS and SCLK behavior with BUSY fall before CS.
AD7606_SYSTEM_INTERFACE,dout_readback,HIGH,OPEN,TBD,ADC_MISO_A;ADC_MISO_B;32 SCLK;sample log,AD7606 readback evidence records both DOUT lanes with 32 SCLK edges per sample and firmware sample logs.
AD7606_SYSTEM_INTERFACE,scaling_channel_order_known_input,HIGH,OPEN,TBD,RANGE=0;OS[2:0]=000;VOUT1;VOUT2;VOUT3;VOUT4;known-input,AD7606 system evidence records range and oversampling metadata channel order for VOUT1 through VOUT4 and known-input count accuracy.
TIA_READOUT_RANGE_CALIBRATION,signal_pd_calibration,HIGH,OPEN,TBD,D1;D2;D3;D4;RF;VBIAS;dark counts;slope;saturation;noise floor,Signal-PD evidence records RF VBIAS dark counts slope saturation and noise floor for D1 through D4.
TIA_READOUT_RANGE_CALIBRATION,ambient_saturation_policy,HIGH,OPEN,TBD,ambient;shielding;out-of-range;saturation,Signal-PD release evidence records ambient or shielding condition and firmware saturation or out-of-range behavior.
MONITOR_PD_FRONTEND_RANGE_CALIBRATION,monitor_pd_calibration,HIGH,OPEN,TBD,LD1;LD2;LD3;dark counts;slope;optical power;fail-shutoff,Monitor-PD evidence records LD1 through LD3 dark counts slope optical power and firmware fail-shutoff behavior.
MONITOR_PD_FRONTEND_RANGE_CALIBRATION,mpd4_blue_spare_open,HIGH,OPEN,TBD,LD4;MPD4;spare/open;no blue APC,Monitor-PD evidence records LD4 MPD4 as spare/open and proves firmware does not use MPD4 for blue APC or safety telemetry.
